"x" "y" "z" "temp"
15 0.0 0 820
3 0.0048 0 792
18 0.0064 0 723
9 0.009 0 771
12 0.0119 0 778
6 0.0151 0 751
0 0.0369 0 797
21 0.0395 0 765
15 0.0985 0 832
3 0.1031 0 816
18 0.1057 0 717
9 0.1076 0 775
12 0.1103 0 795
6 0.1146 0 772
0 0.1359 0 784
21 0.1381 0 749
15 0.1982 0 839
3 0.2015 0 823
18 0.2039 0 733
9 0.2063 0 764
12 0.2098 0 811
6 0.2125 0 790
0 0.235 0 775
21 0.2376 0 732
15 0.2961 0 834
3 0.3008 0 810
18 0.3037 0 751
9 0.3044 0 752
12 0.308 0 816
6 0.3121 0 795
0 0.3333 0 795
21 0.3364 0 729
15 0.395 0 829
3 0.3997 0 798
18 0.4023 0 761
9 0.4037 0 743
12 0.4073 0 810
6 0.4099 0 787
0 0.4327 0 813
21 0.4349 0 753
15 0.494 0 824
3 0.4982 0 784
18 0.5008 0 756
9 0.5021 0 745
12 0.5051 0 802
6 0.5093 0 777
0 0.5312 0 825
21 0.5333 0 777
15 0.5925 0 819
3 0.5971 0 774
18 0.5996 0 747
9 0.601 0 764
12 0.6048 0 794
6 0.6077 0 768
0 0.6293 0 819
21 0.6318 0 790
15 0.6909 0 830
3 0.6961 0 804
18 0.6986 0 736
9 0.7003 0 784
12 0.7029 0 788
6 0.7068 0 762
0 0.7284 0 808
21 0.7313 0 779
15 0.7898 0 842
3 0.7945 0 828
18 0.797 0 728
9 0.7991 0 789
12 0.8015 0 806
6 0.8049 0 783
0 0.8271 0 796
21 0.83 0 763
15 0.8893 0 849
3 0.8934 0 836
18 0.8955 0 744
9 0.8974 0 778
12 0.9001 0 822
6 0.9042 0 802
0 0.9262 0 787
21 0.9286 0 745
15 0.988 0 843
3 0.9914 0 821
18 0.9948 0 763
9 0.9964 0 765
12 0.9989 0 827
6 1.003 0 807
0 1.0242 0 809
21 1.0271 0 743
15 1.086 0 837
3 1.0909 0 805
18 1.0934 0 772
9 1.0947 0 753
12 1.098 0 818
6 1.1012 0 797
0 1.1232 0 828
21 1.1265 0 771
15 1.1852 0 832
3 1.1895 0 793
18 1.192 0 766
9 1.1934 0 758
12 1.1971 0 811
6 1.1999 0 788
0 1.2217 0 835
21 1.2246 0 791
15 1.2843 0 829
3 1.2882 0 791
18 1.2906 0 754
9 1.2923 0 781
12 1.295 0 800
6 1.2985 0 775
0 1.3206 0 827
21 1.3237 0 800
15 1.3824 0 841
3 1.3871 0 818
18 1.3896 0 745
9 1.3907 0 797
12 1.3945 0 799
6 1.3972 0 774
0 1.4195 0 817
21 1.4224 0 789
15 1.4815 0 851
3 1.4849 0 838
18 1.4882 0 737
9 1.4894 0 800
12 1.4928 0 816
6 1.496 0 794
0 1.5184 0 805
21 1.5208 0 774
15 1.5803 0 858
3 1.5838 0 846
18 1.5867 0 754
9 1.5879 0 790
12 1.5921 0 832
6 1.5951 0 813
0 1.6166 0 798
21 1.6201 0 757
15 1.6786 0 852
3 1.6827 0 832
18 1.6859 0 772
9 1.6868 0 777
12 1.6905 0 836
6 1.6941 0 817
0 1.7152 0 819
21 1.7184 0 753
15 1.7777 0 846
3 1.7816 0 817
18 1.7839 0 783
9 1.7854 0 765
12 1.7891 0 828
6 1.7923 0 808
0 1.8143 0 837
21 1.8166 0 780
15 1.876 0 839
3 1.8804 0 802
18 1.8832 0 775
9 1.8849 0 770
12 1.8876 0 818
6 1.8917 0 796
0 1.9135 0 844
21 1.9153 0 804
15 1.9749 0 838
3 1.979 0 804
18 1.9811 0 763
9 1.9831 0 793
12 1.9867 0 807
6 1.9897 0 782
0 2.0124 0 834
21 2.0151 0 809
15 2.074 0 852
3 2.0777 0 834
18 2.0804 0 750
9 2.0826 0 811
12 2.0856 0 813
6 2.0887 0 788
