"x" "y" "z" "temp"
12 0.0 0 521
15 0.0119 0 572.483
21 0.0602 0 582.25
3 0.0673 0 660.4635
9 0.0963 0 571.81
12 0.0989 0 573
15 0.1113 0 623.884
18 0.1355 0 498.74
21 0.1592 0 598.4
3 0.1658 0 742.9755
6 0.1814 0 715.8608
9 0.1945 0 611.8
12 0.1974 0 619
18 0.2346 0 516.92
21 0.2583 0 614.55
3 0.2654 0 750.711
6 0.2807 0 756.8738
9 0.294 0 645.28
12 0.297 0 653
18 0.3335 0 534.09
21 0.3567 0 629.85
6 0.3795 0 786.0386
9 0.3928 0 672.25
18 0.4324 0 549.24
21 0.4564 0 643.45
3 0.4614 0 830.6445
9 0.4918 0 680.62
12 0.4929 0 688
3 0.5611 0 811.7355
6 0.5755 0 777.836
9 0.591 0 615.52
12 0.592 0 664
18 0.6287 0 529.04
21 0.6527 0 616.25
3 0.66 0 784.2315
6 0.6746 0 745.0256
9 0.6892 0 625.75
12 0.6908 0 590
18 0.728 0 469.45
21 0.751 0 564.4
0 0.7547 0 678.9992
3 0.7583 0 739.5375
6 0.7732 0 698.5442
9 0.7885 0 589.48
12 0.7903 0 593
18 0.826 0 494.7
21 0.8502 0 549.95
0 0.8537 0 570.9208
3 0.8573 0 656.166
6 0.8728 0 586.442
9 0.8871 0 551.35
12 0.8893 0 541
18 0.9252 0 481.57
0 0.9521 0 542.158
3 0.9568 0 554.745
6 0.9713 0 575.5052
9 0.9863 0 541.12
12 0.9882 0 520
21 1.047 0 581.4
0 1.0512 0 590.096
3 1.0551 0 646.7115
9 1.0857 0 568.09
12 1.0874 0 567
18 1.1216 0 496.72
21 1.1455 0 596.7
0 1.1502 0 667.6684
3 1.1544 0 697.422
6 1.1681 0 709.481
9 1.1842 0 609.01
12 1.1859 0 615
18 1.2209 0 514.9
21 1.245 0 612.85
0 1.2494 0 717.3496
3 1.2531 0 782.5125
6 1.2669 0 753.2282
9 1.2827 0 642.49
12 1.2853 0 650
18 1.3198 0 532.07
21 1.3439 0 628.15
0 1.3482 0 751.342
6 1.3658 0 783.3044
9 1.3817 0 669.46
18 1.4187 0 547.22
21 1.4421 0 642.6
0 1.4468 0 775.7468
3 1.4501 0 829.785
12 1.4818 0 690
0 1.5456 0 759.1864
3 1.5486 0 814.314
6 1.5626 0 781.4816
9 1.5789 0 660.16
12 1.5804 0 667
18 1.6155 0 531.06
21 1.6394 0 618.8
0 1.6449 0 728.6804
3 1.6476 0 788.529
6 1.6613 0 750.494
9 1.6774 0 585.76
12 1.6787 0 637
18 1.7147 0 514.9
21 1.7379 0 602.65
0 1.7433 0 685.1004
3 1.7465 0 746.4135
6 1.7602 0 705.8354
9 1.7763 0 550.42
12 1.7784 0 552
18 1.8128 0 450.26
21 1.837 0 548.25
0 1.8428 0 617.9872
3 1.8461 0 670.7775
6 1.8594 0 637.4804
9 1.8749 0 556.0
12 1.8767 0 548
18 1.9119 0 482.58
0 1.9418 0 543.0296
3 1.9444 0 555.6045
6 1.9584 0 531.758
9 1.9747 0 541.12
12 1.9756 0 519
21 2.034 0 580.55
0 2.041 0 580.5084
3 2.0438 0 588.2655
6 2.0576 0 629.2778
9 2.0732 0 563.44
18 2.109 0 494.7
21 2.1321 0 594.15
0 2.1392 0 661.5672
3 2.1423 0 729.2235
6 2.1557 0 702.1898
9 2.1723 0 604.36
12 2.1727 0 609
18 2.2076 0 512.88
21 2.2317 0 611.15
0 2.2388 0 712.9916
3 2.2413 0 778.215
6 2.2555 0 748.6712
9 2.2717 0 638.77
12 2.2721 0 646
18 2.3061 0 530.05
21 2.3301 0 626.45
0 2.3372 0 748.7272
3 2.34 0 808.2975
6 2.3545 0 780.5702
9 2.37 0 667.6
12 2.371 0 674
18 2.405 0 545.2
21 2.4298 0 640.9
0 2.4361 0 774.0036
3 2.4397 0 828.066
6 2.4531 0 803.3552
0 2.5357 0 761.8012
3 2.538 0 816.8925
6 2.5521 0 784.2158
9 2.5667 0 663.88
12 2.5671 0 671
18 2.6024 0 533.08
21 2.6261 0 621.35
0 2.6342 0 733.0384
3 2.6373 0 791.967
6 2.6509 0 754.1396
9 2.6651 0 635.05
12 2.6664 0 642
18 2.7011 0 516.92
21 2.725 0 562.7
0 2.7326 0 691.2016
3 2.7358 0 752.43
6 2.7503 0 712.2152
9 2.7647 0 550.42
12 2.7652 0 605
18 2.8004 0 499.75
21 2.8241 0 546.55
0 2.8322 0 627.5748
3 2.8345 0 681.951
6 2.849 0 646.5944
9 2.8633 0 560.65
12 2.8643 0 556
18 2.8986 0 431.07
21 2.9229 0 579.7
0 2.9306 0 545.6444
3 2.9333 0 558.183
6 2.9471 0 576.4166
9 2.9628 0 541.12
12 2.9632 0 519
0 3.0304 0 570.0492
3 3.0328 0 568.497
6 3.0469 0 571.8596
9 3.0617 0 558.79
18 3.0956 0 492.68
21 3.1189 0 592.45
0 3.1292 0 607.528
3 3.1314 0 722.3475
6 3.1459 0 696.7214
12 3.1595 0 604
9 3.1599 0 599.71
18 3.1945 0 510.86
21 3.2184 0 609.45
0 3.2273 0 708.6336
3 3.2301 0 774.777
6 3.2449 0 745.0256
12 3.2586 0 642
9 3.2591 0 635.98
18 3.2945 0 528.03
21 3.3174 0 624.75
0 3.3261 0 745.2408
3 3.3297 0 805.719
6 3.3432 0 777.836
12 3.3568 0 671
9 3.3582 0 664.81
18 3.3917 0 544.19
21 3.4163 0 640.05
3 3.428 0 826.347
6 3.4424 0 801.5324
0 3.5229 0 765.2876
3 3.5279 0 819.471
6 3.5411 0 786.95
12 3.5543 0 674
9 3.5551 0 666.67
18 3.5891 0 536.11
21 3.6129 0 623.9
0 3.6221 0 736.5248
3 3.626 0 795.405
6 3.6406 0 758.6966
12 3.653 0 646
9 3.6534 0 638.77
18 3.688 0 519.95
21 3.7113 0 561.0
0 3.7213 0 697.3028
3 3.7252 0 758.4465
6 3.7396 0 717.6836
12 3.752 0 611
9 3.7527 0 604.36
18 3.7865 0 501.77
21 3.8103 0 591.6
0 3.8197 0 636.2908
3 3.8246 0 693.1245
6 3.838 0 655.7084
12 3.8514 0 507
9 3.8519 0 565.3
18 3.886 0 429.05
21 3.9093 0 580.55
0 3.9194 0 552.6172
3 3.9232 0 517.7865
6 3.937 0 578.2394
12 3.9494 0 463
9 3.9504 0 541.12
0 4.0175 0 559.59
3 4.0229 0 597.72
6 4.0357 0 610.1384
12 4.0491 0 546
18 4.0822 0 489.65
21 4.1059 0 590.75
0 4.1173 0 645.8784
3 4.1207 0 714.612
6 4.1353 0 637.4804
9 4.1469 0 595.06
12 4.1478 0 599
18 4.1809 0 508.84
21 4.2053 0 606.9
3 4.2197 0 770.4795
6 4.2346 0 740.4686
9 4.2463 0 631.33
12 4.2467 0 638
18 4.2796 0 526.01
21 4.3035 0 623.05
0 4.3142 0 741.7544
3 4.319 0 803.1405
6 4.3333 0 774.1904
9 4.3452 0 661.09
12 4.3456 0 668
18 4.3787 0 542.17
21 4.4031 0 638.35
3 4.4185 0 824.628
6 4.4317 0 799.7096
18 4.4776 0 552.27
0 4.5108 0 767.9024
3 4.5167 0 822.0495
6 4.5303 0 789.6842
12 4.5418 0 677
9 4.5422 0 670.39
18 4.5766 0 538.13
21 4.5996 0 576.3
0 4.6098 0 740.8828
3 4.6154 0 798.843
6 4.6291 0 762.3422
12 4.6409 0 650
18 4.6762 0 521.97
21 4.6979 0 610.3
0 4.709 0 702.5324
3 4.7144 0 763.6035
6 4.7285 0 723.152
9 4.7398 0 609.94
12 4.7402 0 615
18 4.7745 0 504.8
21 4.7971 0 594.15
0 4.808 0 645.8784
3 4.8134 0 650.1495
6 4.8276 0 663.911
9 4.8383 0 570.88
12 4.8392 0 569
18 4.8736 0 487.63
21 4.8965 0 530.4
0 4.9065 0 507.294
3 4.9134 0 579.6705
6 4.9259 0 581.885
9 4.9377 0 484.39
12 4.9385 0 460
0 5.0059 0 550.0024
3 5.0115 0 580.53
6 5.0258 0 600.113
12 5.0368 0 539
18 5.0706 0 427.03
21 5.0933 0 588.2
0 5.1052 0 637.1624
3 5.1101 0 706.8765
6 5.124 0 683.9618
9 5.1339 0 589.48
12 5.1364 0 593
18 5.1696 0 505.81
21 5.1922 0 605.2
0 5.2039 0 698.1744
3 5.2093 0 766.182
6 5.2232 0 678.4934
9 5.2335 0 627.61
12 5.2348 0 634
18 5.2678 0 523.99
21 5.2902 0 621.35
0 5.303 0 681.614
3 5.309 0 800.562
6 5.3226 0 771.4562
9 5.3319 0 658.3
12 5.3336 0 665
18 5.3674 0 540.15
21 5.39 0 636.65
9 5.4305 0 683.41
18 5.4653 0 553.28
21 5.4885 0 642.6
0 5.4993 0 770.5172
3 5.5052 0 824.628
6 5.5186 0 793.3298
12 5.5307 0 680
21 5.5877 0 574.6
0 5.5984 0 744.3692
3 5.6038 0 802.281
6 5.6172 0 765.9878
9 5.6275 0 647.14
12 5.6297 0 654
18 5.6629 0 523.99
21 5.6866 0 612.85
0 5.6967 0 708.6336
3 5.703 0 768.7605
6 5.7169 0 728.6204
9 5.7264 0 614.59
12 5.7279 0 620
18 5.7615 0 506.82
21 5.7848 0 596.7
0 5.7957 0 653.7228
3 5.8024 0 712.0335
6 5.8152 0 672.1136
9 5.8258 0 576.46
12 5.8277 0 576
18 5.8598 0 489.65
21 5.8839 0 582.25
0 5.8954 0 571.7924
3 5.9007 0 597.72
6 5.9149 0 590.0876
9 5.9239 0 542.98
0 5.9937 0 544.7728
3 5.9996 0 564.1995
6 6.0134 0 590.0876
9 6.0228 0 483.46
18 6.0565 0 420.97
21 6.0803 0 586.5
0 6.0931 0 627.5748
6 6.1123 0 675.7592
9 6.1225 0 584.83
12 6.1346 0 593
18 6.1553 0 503.79
21 6.1798 0 603.5
0 6.1922 0 692.0732
3 6.1964 0 761.025
6 6.2116 0 731.3546
9 6.2211 0 623.89
12 6.2322 0 633
18 6.2546 0 521.97
21 6.2789 0 619.65
0 6.2908 0 733.91
3 6.2949 0 797.124
6 6.3106 0 706.7468
9 6.3204 0 655.51
12 6.3303 0 664
18 6.354 0 538.13
21 6.378 0 634.95
3 6.3937 0 820.3305
12 6.428 0 688
18 6.4521 0 553.28
21 6.4769 0 587.35
0 6.4877 0 712.9916
6 6.5065 0 796.064
9 6.5165 0 677.83
12 6.5259 0 681
21 6.5758 0 630.7
0 6.5867 0 748.7272
3 6.5907 0 805.719
6 6.6063 0 769.6334
9 6.6158 0 651.79
12 6.6241 0 656
18 6.649 0 526.01
21 6.6747 0 614.55
0 6.6853 0 713.8632
3 6.6898 0 715.4715
6 6.705 0 734.0888
9 6.7141 0 619.24
12 6.7234 0 622
18 6.7477 0 509.85
21 6.7733 0 598.4
0 6.7838 0 662.4388
3 6.7884 0 722.3475
6 6.8034 0 681.2276
9 6.8134 0 581.11
12 6.822 0 578
18 6.8475 0 491.67
21 6.8727 0 583.95
0 6.8831 0 583.1232
3 6.8877 0 617.4885
6 6.9027 0 600.113
9 6.9118 0 545.77
12 6.9217 0 526
0 6.982 0 480.2744
3 6.9868 0 556.464
6 7.0016 0 581.885
12 7.0197 0 530
21 7.0689 0 585.65
6 7.1006 0 666.6452
9 7.1086 0 512.29
12 7.1187 0 585
21 7.1674 0 601.8
0 7.179 0 685.1004
3 7.1834 0 754.149
6 7.1997 0 725.8862
9 7.2074 0 619.24
12 7.2177 0 628
21 7.267 0 617.95
0 7.2778 0 728.6804
3 7.2824 0 793.686
6 7.2978 0 764.165
9 7.3071 0 651.79
12 7.3167 0 660
21 7.366 0 633.25
0 7.3762 0 759.1864
3 7.3807 0 818.6115
9 7.4054 0 677.83
6 7.4951 0 732.266
12 7.514 0 684
0 7.573 0 687.7152
3 7.5784 0 809.157
