"x" "y" "z" "temp"
18 0.0 0 552.724
15 0.008 0 535.6992
3 0.0197 0 562.25
6 0.0295 0 599.1
0 0.0325 0 627.25
12 0.0356 0 584.5
9 0.0567 0 569.08
21 0.0667 0 631.125
18 0.0988 0 552.724
15 0.1067 0 534.8153
3 0.1186 0 561.5
6 0.1285 0 599.1
0 0.1305 0 626.5
12 0.1339 0 584.5
9 0.1553 0 569.08
21 0.1654 0 631.125
18 0.1967 0 552.724
15 0.2052 0 535.6992
3 0.2175 0 563.75
6 0.2269 0 601.06
0 0.2296 0 627.25
12 0.2323 0 585.25
9 0.2535 0 579.42
21 0.2636 0 631.125
18 0.2963 0 559.15
15 0.3047 0 545.4221
3 0.3161 0 581.0
6 0.3254 0 612.82
0 0.3276 0 630.25
12 0.3317 0 594.25
9 0.3527 0 606.68
21 0.3627 0 631.97
18 0.3948 0 570.166
15 0.4028 0 559.5645
3 0.4147 0 602.0
6 0.4238 0 626.54
0 0.4264 0 636.25
12 0.4297 0 607.75
9 0.4511 0 633.94
21 0.4619 0 632.815
18 0.4937 0 582.1
15 0.5017 0 574.5908
3 0.5137 0 622.25
6 0.5226 0 641.24
0 0.5254 0 643.0
12 0.529 0 621.25
9 0.5494 0 655.56
21 0.5605 0 635.35
18 0.5925 0 593.116
15 0.6007 0 589.6171
3 0.6124 0 639.5
6 0.6217 0 654.96
0 0.6248 0 651.25
12 0.6279 0 634.0
9 0.6485 0 674.36
21 0.659 0 637.885
18 0.6905 0 605.05
15 0.6996 0 602.8756
3 0.7109 0 655.25
6 0.7206 0 668.68
0 0.7232 0 659.5
12 0.7267 0 646.0
9 0.7473 0 690.34
21 0.7578 0 642.11
18 0.7895 0 615.148
15 0.7983 0 615.2502
3 0.8098 0 669.5
6 0.8195 0 680.44
0 0.8215 0 668.5
12 0.8256 0 657.25
9 0.846 0 704.44
21 0.8564 0 646.335
18 0.8887 0 625.246
15 0.8967 0 626.7409
3 0.9083 0 682.25
6 0.9182 0 692.2
0 0.9209 0 677.5
12 0.9236 0 667.75
9 0.9447 0 715.72
21 0.9552 0 650.56
18 0.9873 0 634.426
15 0.9955 0 637.3477
3 1.0068 0 693.5
6 1.0167 0 702.98
0 1.0196 0 686.5
12 1.0231 0 677.5
9 1.0432 0 726.06
21 1.0542 0 655.63
18 1.0853 0 642.688
15 1.0947 0 647.0706
3 1.1058 0 703.25
6 1.1149 0 712.78
0 1.1182 0 694.75
12 1.1216 0 686.5
9 1.1422 0 734.52
21 1.1523 0 659.855
18 1.1845 0 650.032
15 1.1928 0 655.9096
3 1.2051 0 712.25
6 1.2138 0 722.58
0 1.2165 0 703.0
12 1.2202 0 694.75
9 1.2408 0 742.98
21 1.2519 0 664.925
18 1.2834 0 658.294
15 1.2919 0 664.7486
3 1.3037 0 720.5
